"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1044","test_form_2_fills_and_confirms_order[top_button]","tests","2026-07-16","passed","2026-07-16","","test_order","",""
"","1792","Проверка вопроса FAQ №1: Пока что у нас так: один заказ — один самокат. Если хотите покататься с друзьями, можете просто сделать несколько заказов — один за другим.","tests","2026-07-16","passed","2026-07-16","TestAccordionQuestions","test_expand","",""
"","68","test_click_self_logo_leads_to_main_page[bottom_button]","tests","2026-07-16","passed","2026-07-16","","test_order","",""
"","1629","Проверка вопроса FAQ №0: Сутки — 400 рублей. Оплата курьеру — наличными или картой.","tests","2026-07-16","passed","2026-07-16","TestAccordionQuestions","test_expand","",""
"","761","test_form_1_fills_and_transitions_to_form_2[top_button]","tests","2026-07-16","passed","2026-07-16","","test_order","",""
"","770","test_form_1_fills_and_transitions_to_form_2[bottom_button]","tests","2026-07-16","passed","2026-07-16","","test_order","",""
"","1056","test_yandex_logo_opens_dzen[bottom_button]","tests","2026-07-16","passed","2026-07-16","","test_order","",""
"","1481","Проверка вопроса FAQ №6: Да, пока самокат не привезли. Штрафа не будет, объяснительной записки тоже не попросим. Все же свои.","tests","2026-07-16","passed","2026-07-16","TestAccordionQuestions","test_expand","",""
"","3329","Проверка вопроса FAQ №2: Допустим, вы оформляете заказ на 8 мая. Мы привозим самокат 8 мая в течение дня. Отсчёт времени аренды начинается с момента, когда вы оплатите заказ курьеру. Если мы привезли самокат 8 мая в 20:30, суточная аренда закончится 9 мая в 20:30.","tests","2026-07-16","passed","2026-07-16","TestAccordionQuestions","test_expand","",""
"","1555","Проверка вопроса FAQ №7: Да, обязательно. Всем самокатов! И Москве, и Московской области.","tests","2026-07-16","passed","2026-07-16","TestAccordionQuestions","test_expand","",""
"","1063","test_form_2_fills_and_confirms_order[bottom_button]","tests","2026-07-16","passed","2026-07-16","","test_order","",""
"","543","test_yandex_logo_opens_dzen[top_button]","tests","2026-07-16","passed","2026-07-16","","test_order","",""
"","69","test_click_self_logo_leads_to_main_page[top_button]","tests","2026-07-16","passed","2026-07-16","","test_order","",""
"","1702","Проверка вопроса FAQ №4: Пока что нет! Но если что-то срочное — всегда можно позвонить в поддержку по красивому номеру 1010.","tests","2026-07-16","passed","2026-07-16","TestAccordionQuestions","test_expand","",""
"","2337","Проверка вопроса FAQ №5: Самокат приезжает к вам с полной зарядкой. Этого хватает на восемь суток — даже если будете кататься без передышек и во сне. Зарядка не понадобится.","tests","2026-07-16","passed","2026-07-16","TestAccordionQuestions","test_expand","",""
"","2002","Проверка вопроса FAQ №3: Только начиная с завтрашнего дня. Но скоро станем расторопнее.","tests","2026-07-16","passed","2026-07-16","TestAccordionQuestions","test_expand","",""
